champion,changed_in_patch,source_scope,picks,wins,winrate,avg_kills,avg_deaths,avg_assists,avg_earnedgold,avg_damagetochampions,avg_dpm,avg_cspm
Xin Zhao,1,current_patch_changed,61,35,0.5737704918032787,2.6065573770491803,3.377049180327869,6.655737704918033,12058.672131147541,,476.9836065573771,7.19344262295082
Jarvan IV,1,current_patch_changed,57,27,0.47368421052631576,2.3333333333333335,3.491228070175439,9.964912280701755,11827.82456140351,,415.43859649122805,6.7175438596491235
Bard,1,current_patch_changed,55,28,0.509090909090909,1.0363636363636364,2.8545454545454545,10.727272727272727,8614.418181818182,,265.1636363636364,1.110909090909091
Ezreal,1,current_patch_changed,51,23,0.45098039215686275,3.784313725490196,2.392156862745098,4.509803921568627,15265.960784313726,,892.2941176470588,9.886274509803922
Seraphine,1,current_patch_changed,45,28,0.6222222222222222,1.0666666666666667,2.3777777777777778,11.755555555555556,8695.644444444444,,290.1333333333333,1.1533333333333335
Sion,1,current_patch_changed,44,26,0.5909090909090909,1.5,2.477272727272727,6.840909090909091,11508.204545454546,,568.5909090909091,8.070454545454545
Vi,1,current_patch_changed,40,22,0.55,3.6,3.55,7.075,12380.175,,393.9,7.022499999999999
Annie,1,current_patch_changed,39,19,0.48717948717948717,2.4871794871794872,2.8974358974358974,6.717948717948718,11768.205128205129,,703.2051282051282,8.051282051282051
Nocturne,1,current_patch_changed,35,12,0.34285714285714286,3.1714285714285713,3.5428571428571427,6.685714285714286,12123.914285714285,,445.25714285714287,6.685714285714286
K'Sante,1,current_patch_changed,33,14,0.42424242424242425,1.7878787878787878,2.909090909090909,5.03030303030303,11387.0,,409.72727272727275,8.227272727272727
Neeko,1,current_patch_changed,30,12,0.4,0.8333333333333334,3.7,7.566666666666666,8341.666666666666,,350.53333333333336,1.2366666666666668
Ambessa,1,current_patch_changed,23,6,0.2608695652173913,1.9130434782608696,3.0869565217391304,3.217391304347826,11170.826086956522,,590.0869565217391,8.32608695652174
Azir,1,current_patch_changed,18,5,0.2777777777777778,2.4444444444444446,3.5,4.0,12484.444444444445,,679.4444444444445,9.43888888888889
Taliyah,1,current_patch_changed,16,7,0.4375,2.0,3.25,6.3125,12504.5,,589.1875,8.65625
Kai'Sa,1,current_patch_changed,15,9,0.6,5.866666666666666,3.066666666666667,4.2,15446.266666666666,,741.0,9.76
Rell,1,current_patch_changed,14,7,0.5,0.8571428571428571,3.2857142857142856,12.714285714285714,8349.214285714286,,192.64285714285714,1.1142857142857143
Mel,1,current_patch_changed,13,3,0.23076923076923078,4.615384615384615,3.230769230769231,3.6923076923076925,13465.307692307691,,683.0769230769231,9.13076923076923
Ornn,1,current_patch_changed,13,8,0.6153846153846154,0.9230769230769231,1.7692307692307692,6.0,10368.307692307691,,418.6923076923077,8.007692307692308
Vayne,1,current_patch_changed,13,8,0.6153846153846154,3.3846153846153846,3.3846153846153846,4.3076923076923075,12361.538461538461,,644.2307692307693,7.930769230769231
Gwen,1,current_patch_changed,10,4,0.4,3.4,3.0,4.6,13007.4,,823.3,8.59
Xayah,1,current_patch_changed,10,2,0.2,2.1,2.5,3.9,14124.0,,709.2,10.110000000000001
Hwei,1,current_patch_changed,7,4,0.5714285714285714,2.7142857142857144,1.8571428571428572,6.428571428571429,11750.42857142857,,701.5714285714286,8.214285714285715
Zeri,1,current_patch_changed,7,1,0.14285714285714285,5.857142857142857,4.571428571428571,4.428571428571429,18098.0,,892.5714285714286,10.314285714285715
Gragas,1,current_patch_changed,6,3,0.5,1.1666666666666667,3.3333333333333335,5.166666666666667,11115.0,,417.6666666666667,6.983333333333333
Poppy,1,current_patch_changed,6,2,0.3333333333333333,1.3333333333333333,4.166666666666667,7.833333333333333,10597.333333333334,,417.6666666666667,4.55
Aphelios,1,current_patch_changed,5,2,0.4,7.2,3.2,3.0,15767.8,,994.0,9.52
Malphite,1,current_patch_changed,5,4,0.8,1.2,2.2,5.8,11108.6,,448.2,6.9799999999999995
Shyvana,1,current_patch_changed,5,1,0.2,3.8,4.0,5.2,13041.4,,609.2,7.88
Lux,1,current_patch_changed,4,3,0.75,2.25,1.75,14.5,9895.0,,416.0,1.4499999999999997
Swain,1,all_available_fallback,4,3,0.75,3.0,1.75,8.5,12320.5,,640.5,8.675
Zoe,1,current_patch_changed,4,2,0.5,4.25,2.5,6.0,11839.5,,833.75,8.075
Kennen,1,current_patch_changed,3,0,0.0,3.0,2.3333333333333335,1.3333333333333333,11993.0,,656.0,9.166666666666666
Morgana,1,all_available_fallback,3,2,0.6666666666666666,1.6666666666666667,2.6666666666666665,12.666666666666666,12086.333333333334,,392.3333333333333,5.433333333333334
Kindred,1,all_available_fallback,2,0,0.0,2.5,4.0,3.0,12457.0,,480.0,7.35
Kled,1,current_patch_changed,2,1,0.5,3.0,2.5,2.0,13297.0,,690.0,9.05
Kog'Maw,1,current_patch_changed,2,1,0.5,3.5,2.0,3.0,15096.0,,1115.5,10.4
Sona,1,all_available_fallback,2,1,0.5,0.0,3.0,13.0,7738.5,,329.0,1.0
Taric,1,all_available_fallback,2,1,0.5,0.0,3.0,11.0,8673.0,,92.0,1.25
Brand,1,current_patch_changed,1,0,0.0,1.0,6.0,5.0,12129.0,,869.0,8.1
Ekko,1,current_patch_changed,1,0,0.0,3.0,3.0,4.0,13876.0,,687.0,9.6
Fiddlesticks,1,all_available_fallback,1,1,1.0,1.0,4.0,10.0,10661.0,,244.0,0.7
Garen,1,current_patch_changed,1,0,0.0,1.0,6.0,0.0,9609.0,,624.0,9.2
Karthus,1,all_available_fallback,1,1,1.0,8.0,2.0,5.0,14528.0,,908.0,8.6
Quinn,1,current_patch_changed,1,0,0.0,5.0,7.0,5.0,12802.0,,683.0,7.4
Sett,1,all_available_fallback,1,1,1.0,5.0,0.0,12.0,11270.0,,1203.0,8.8
Tahm Kench,1,current_patch_changed,1,0,0.0,1.0,5.0,1.0,6892.0,,256.0,6.4
Thresh,1,current_patch_changed,1,1,1.0,0.0,2.0,12.0,9870.0,,127.0,1.0
Udyr,1,current_patch_changed,1,1,1.0,2.0,6.0,13.0,12618.0,,372.0,5.6
Vel'Koz,1,all_available_fallback,1,0,0.0,1.0,10.0,5.0,9805.0,,522.0,1.4
Viego,1,current_patch_changed,1,0,0.0,9.0,7.0,6.0,13113.0,,496.0,5.8
Warwick,1,all_available_fallback,1,1,1.0,5.0,3.0,10.0,13279.0,,311.0,7.0
Zed,1,current_patch_changed,1,0,0.0,4.0,7.0,4.0,12011.0,,569.0,5.9
Yunara,0,historical_unchanged,378,186,0.49206349206349204,4.587301587301587,2.738095238095238,5.018518518518518,16452.64285714286,,758.8439153439153,10.158465608465608
Ryze,0,historical_unchanged,352,189,0.5369318181818182,3.6818181818181817,2.5568181818181817,5.59375,13850.75,,648.0880681818181,9.598295454545456
Corki,0,historical_unchanged,338,158,0.46745562130177515,4.446745562130178,2.9763313609467454,4.813609467455621,16001.079881656804,,784.4289940828403,9.866568047337278
Rumble,0,historical_unchanged,329,174,0.5288753799392097,2.9483282674772036,2.9574468085106385,5.990881458966565,13152.209726443769,,761.8176291793313,8.269300911854105
